Dzień dobry.|Nazywam 
dobry. Nazywam|się 
Nazywam się|Gniewomir 
się Gniewomir|i 
Gniewomir i|jestem 
i jestem|botem, 
jestem botem,|który 
botem, który|będzie 
który będzie|miał 
będzie miał|przyjemność 
miał przyjemność|poprowadzić 
przyjemność poprowadzić|z 
poprowadzić z|Tobą 
z Tobą|rozmowę. 
Tobą rozmowę.|Jak 
rozmowę. Jak|minął 
Jak minął|Ci 
minął Ci|dzień 
Witam. Bardzo|ładna 
Bardzo ładna|pogoda 
Bardzo dobrze,|dziękuję 
Masz ochotę|porozmawiać 
Cześć. Jak|się 
Jak się|masz 
Niebawem jednak|jego 
jednak jego|odwaga 
jego odwaga|została 
odwaga została|hojnie 
została hojnie|wynagrodzona. 
hojnie wynagrodzona.|To, 
wynagrodzona. To,|co 
To, co|wyczytał 
co wyczytał|tutaj, 
wyczytał tutaj,|było 
tutaj, było|tak 
było tak|nadzwyczajne, 
tak nadzwyczajne,|że 
nadzwyczajne, że|pragnął, 
że pragnął,|aby 
pragnął, aby|było 
aby było|tego 
było tego|jeszcze 
tego jeszcze|raz 
jeszcze raz|tyle. 
raz tyle.|Obcował 
tyle. Obcował|tutaj 
Obcował tutaj|z 
tutaj z|szlachetnymi 
z szlachetnymi|rycerzami, 
szlachetnymi rycerzami,|którzy 
rycerzami, którzy|zawsze 
którzy zawsze|chadzali 
zawsze chadzali|w 
chadzali w|żelaznych 
w żelaznych|zbrojach 
żelaznych zbrojach|niby 
zbrojach niby|żywe, 
niby żywe,|okrągłe 
żywe, okrągłe|piece, 
okrągłe piece,|którzy 
piece, którzy|dokonywali 
którzy dokonywali|najsławniejszych 
dokonywali najsławniejszych|czynów, 
najsławniejszych czynów,|zwłaszcza 
czynów, zwłaszcza|we 
zwłaszcza we|wschodnich 
we wschodnich|krajach, 
wschodnich krajach,|gdzie 
krajach, gdzie|mieli 
gdzie mieli|chwalebny 
mieli chwalebny|zwyczaj 
chwalebny zwyczaj|rozłupywać 
zwyczaj rozłupywać|Saracenom 
rozłupywać Saracenom|głowy 
Saracenom głowy|aż 
głowy aż|po 
aż po|szczękę 
po szczękę|albo 
szczękę albo|nawet 
albo nawet|rozcinać 
nawet rozcinać|ich 
rozcinać ich|aż 
ich aż|do 
aż do|siodła, 
do siodła,|jeżeli 
siodła, jeżeli|byli 
jeżeli byli|szczególnie 
byli szczególnie|dobrze 
szczególnie dobrze|usposobieni. 
dobrze usposobieni.|Rozmawiali 
usposobieni. Rozmawiali|z 
Rozmawiali z|sobą 
z sobą|o 
sobą o|tym 
o tym|bardzo 
tym bardzo|poufale, 
bardzo poufale,|opróżniając 
poufale, opróżniając|jednocześnie 
opróżniając jednocześnie|tyle 
jednocześnie tyle|złotych 
tyle złotych|pucharów, 
złotych pucharów,|że 
pucharów, że|czytającemu 
że czytającemu|wprost 
czytającemu wprost|zasychało 
wprost zasychało|w 
zasychało w|gardle. 
w gardle.|A 
gardle. A|kiedy 
A kiedy|wypili 
kiedy wypili|ostatni 
wypili ostatni|puchar, 
ostatni puchar,|kładli 
puchar, kładli|znów 
kładli znów|nogę 
znów nogę|w 
nogę w|strzemię 
w strzemię|i 
strzemię i|wbijali 
i wbijali|złociste 
wbijali złociste|ostrogi 
złociste ostrogi|w 
ostrogi w|bok 
w bok|szlachetnych 
bok szlachetnych|koni, 
szlachetnych koni,|z 
koni, z|których 
z których|najszlachetniejszy, 
których najszlachetniejszy,|łup 
najszlachetniejszy, łup|wojenny 
łup wojenny|krzyżowego 
wojenny krzyżowego|rycerza, 
krzyżowego rycerza,|arabski 
rycerza, arabski|rumak, 
arabski rumak,|grzebał 
rumak, grzebał|w 
grzebał w|ziemi 
w ziemi|szczerozłotymi 
ziemi szczerozłotymi|podkowami. 
szczerozłotymi podkowami.|Jörgen 
podkowami. Jörgen|nie 
Jörgen nie|przypuszczał 
nie przypuszczał|nigdy, 
przypuszczał nigdy,|aby 
nigdy, aby|na 
aby na|świecie 
na świecie|było 
świecie było|tyle 
było tyle|złota. 
tyle złota.|Damy 
złota. Damy|zaś 
Damy zaś|chodziły, 
zaś chodziły,|szeleszcząc 
chodziły, szeleszcząc|jasnym 
szeleszcząc jasnym|jedwabiem 
jasnym jedwabiem|lub 
jedwabiem lub|strojne 
lub strojne|w 
strojne w|barwne 
w barwne|aksamity 
barwne aksamity|dosiadały 
aksamity dosiadały|konia, 
dosiadały konia,|ale 
konia, ale|ani 
ale ani|jedwab, 
ani jedwab,|ani 
jedwab, ani|aksamit 
ani aksamit|nie 
aksamit nie|mogły 
nie mogły|utaić 
mogły utaić|śnieżnych 
utaić śnieżnych|wypukłości 
śnieżnych wypukłości|łona, 
wypukłości łona,|dokoła 
łona, dokoła|którego 
dokoła którego|skrzyły 
którego skrzyły|się 
skrzyły się|drogie 
się drogie|kamienie 
drogie kamienie|i 
kamienie i|perły 
i perły|niby 
perły niby|krople 
niby krople|w 
krople w|lesie 
w lesie|po 
lesie po|deszczu. 
O dwunastej|Barrymore, 
dwunastej Barrymore,|widząc 
Barrymore, widząc|drzwi 
widząc drzwi|frontowe 
drzwi frontowe|jeszcze 
frontowe jeszcze|otwarte, 
jeszcze otwarte,|zaniepokoił 
otwarte, zaniepokoił|się, 
zaniepokoił się,|i 
się, i|wziąwszy 
i wziąwszy|latarnię, 
wziąwszy latarnię,|poszedł 
latarnię, poszedł|szukać 
poszedł szukać|swego 
szukać swego|pana. 
swego pana.|W 
pana. W|ciągu 
W ciągu|dnia 
ciągu dnia|deszcz 
dnia deszcz|padał, 
deszcz padał,|więc 
padał, więc|łatwo 
więc łatwo|było 
łatwo było|dojrzeć 
było dojrzeć|ślady 
dojrzeć ślady|stóp 
ślady stóp|sir 
stóp sir|Karola 
sir Karola|wzdłuż 
Karola wzdłuż|alei. 
wzdłuż alei.|W 
alei. W|połowie 
W połowie|drogi 
połowie drogi|jest 
drogi jest|furtka, 
jest furtka,|prowadząca 
furtka, prowadząca|na 
prowadząca na|łąkę. 
na łąkę.|Były 
łąkę. Były|ślady, 
Były ślady,|że 
ślady, że|sir 
że sir|Karol 
sir Karol|stał 
Karol stał|przy 
stał przy|niej furtce 
przy niej|przez 
niej przez|czas 
przez czas|pewien, 
czas pewien,|następnie 
pewien, następnie|skręcił 
następnie skręcił|znowu 
skręcił znowu|w 
znowu w|aleję. 
w aleję.|Znaleziono 
aleję. Znaleziono|jego 
Znaleziono jego|trupa 
jego trupa|na 
trupa na|jej 
na jej|końcu. 
jej końcu.|Pomiędzy 
końcu. Pomiędzy|innymi 
Pomiędzy innymi|dotychczas 
innymi dotychczas|nie 
dotychczas nie|wyjaśniono 
nie wyjaśniono|jednego 
wyjaśniono jednego|faktu, 
jednego faktu,|wynikającego 
faktu, wynikającego|z 
wynikającego z|zeznań 
z zeznań|Barrymorea, 
zeznań Barrymorea,|a 
Barrymorea, a|mianowicie, 
a mianowicie,|że 
mianowicie, że|ślady 
że ślady|kroków 
ślady kroków|jego 
kroków jego|pana 
jego pana|zmieniły 
pana zmieniły|się 
zmieniły się|z 
się z|chwilą, 
z chwilą,|gdy 
chwilą, gdy|stał 
gdy stał|przy 
przy furtce|i 
furtce i|że 
i że|odtąd 
że odtąd|szedł 
odtąd szedł|na 
szedł na|palcach. 
na palcach.|Niejaki 
palcach. Niejaki|Murphy, 
Niejaki Murphy,|Cygan, 
Murphy, Cygan,|handlujący 
Cygan, handlujący|końmi, 
handlujący końmi,|znajdował 
końmi, znajdował|się 
znajdował się|wówczas 
się wówczas|na 
wówczas na|łące, 
na łące,|w 
łące, w|pewnej 
w pewnej|odległości 
pewnej odległości|od 
odległości od|nieboszczyka, 
od nieboszczyka,|ale 
nieboszczyka, ale|sam 
ale sam|przyznaje, 
sam przyznaje,|że 
przyznaje, że|był 
że był|pijany. 
był pijany.|Powiada, 
pijany. Powiada,|że 
Powiada, że|słyszał 
że słyszał|krzyki, 
słyszał krzyki,|ale 
krzyki, ale|nie 
ale nie|może 
nie może|określić, 
może określić,|skąd 
określić, skąd|wychodziły. 
No hej|xD 
